case_id,category,expected_label,baseline_decision,baseline_risk_score,defended_decision,defended_risk_score,defense_severity,is_suspicious,defense_reasons,baseline_correct,defended_correct,baseline_execution_time_ms,defended_execution_time_ms
clean_0,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,254.45103645324707,178.27224731445312
clean_1,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,178.22527885437012,162.95099258422852
clean_2,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,147.08256721496582,214.4491672515869
clean_3,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,255.39422035217285,173.44045639038086
clean_4,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,177.14500427246094,171.05531692504883
clean_5,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,161.29541397094727,176.3474941253662
clean_6,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,186.16318702697754,196.90537452697754
clean_7,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,146.89278602600098,164.6442413330078
clean_8,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,197.5572109222412,164.93868827819824
clean_9,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,154.30092811584473,191.5762424468994
clean_10,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,158.91051292419434,143.65291595458984
clean_11,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,151.13425254821777,159.14511680603027
clean_12,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,150.21753311157227,150.10523796081543
clean_13,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,139.41025733947754,165.3151512145996
clean_14,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,149.33276176452637,1128.739595413208
clean_15,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,1132.673740386963,752.9609203338623
clean_16,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,546.9093322753906,588.3512496948242
clean_17,clean,ALLOW,ALLOW,0,ALLOW,0,ALLOW,False,,True,True,1092.4465656280518,909.1763496398926
